permno,date,ticker,comnam,prc,ret,mom_12m,annual_div_ps,dividend_field_used,dividend_yield,mom_score,div_score,combined_score,is_price_up,is_high_dividend,passes_screen,screen_rank,next_ret
91184,2023-12-31,GYRE,GYRE THERAPEUTICS INC,25.69,0.092262,5.014886087398761,1.43,dvpsx_f,0.05566368236667964,0.9962235649546828,0.9561933534743202,0.9762084592145015,True,True,True,1.0,-0.51849
81728,2023-12-31,NHTC,NATURAL HEALTH TRENDS CORP,5.86,0.093284,0.979509195102914,0.8,dvpsx_f,0.11548311507103703,0.9297583081570997,0.9950906344410876,0.9624244712990937,True,True,True,2.0,0.081911
90464,2023-12-31,SPOK,SPOK HOLDINGS INC,15.48,-0.076372,1.0820188072396895,1.25,dvpsx_f,0.08074935400516796,0.9425981873111783,0.976963746223565,0.9597809667673716,True,True,True,3.0,0.069767
19312,2023-12-31,UWMC,U W M HOLDINGS CORP,7.15,0.330275,1.3217563939295798,0.4,dvpsx_f,0.055944055944055944,0.9580815709969789,0.9567598187311178,0.9574206948640483,True,True,True,4.0,-0.062937
19577,2023-12-31,RKT,ROCKET COMPANIES INC,14.48,0.550321,1.068573571511497,1.01,dvpsx_f,0.06975138121546962,0.9407099697885196,0.9705438066465257,0.9556268882175227,True,True,True,5.0,-0.149862
22812,2023-12-31,BRBR,BELLRING BRANDS INC NEW,55.43,0.047826,1.1618582904493842,2.97,dvpsx_f,0.053581093270791996,0.9486404833836858,0.9516616314199395,0.9501510574018126,True,True,True,6.0,-0.002887
22178,2023-12-31,AIRS,AIRSCULPT TECHNOLOGIES INC,7.49,0.489065,1.024324840794535,0.41,dvpsx_f,0.05473965287049399,0.9365558912386707,0.9543051359516617,0.9454305135951662,True,True,True,7.0,-0.030708
62228,2023-12-31,FEIM,FREQUENCY ELECTRONICS INC,10.95,0.109422,0.8120554982508608,1.0,dvpsx_f,0.09132420091324202,0.895392749244713,0.9814954682779456,0.9384441087613293,True,True,True,8.0,-0.066667
14229,2023-12-31,OMF,ONEMAIN HOLDINGS INC,49.2,0.163121,0.6261550705496624,3.8,dvpsx_f,0.07723577235772357,0.8466767371601208,0.974320241691843,0.9104984894259819,True,True,True,9.0,-0.03252
13802,2023-12-31,APAM,ARTISAN PARTNERS ASSET MGMT INC,44.18,0.17344,0.6038878604533198,3.67,dvpsx_f,0.08306926210955183,0.8361027190332326,0.9784743202416919,0.9072885196374623,True,True,True,10.0,-0.051607
91184,2024-01-31,GYRE,GYRE THERAPEUTICS INC,12.37,-0.51849,1.9295484844050006,1.43,dvpsx_f,0.11560226354082458,0.9873563218390805,0.9881226053639847,0.9877394636015326,True,True,True,1.0,0.466451
90464,2024-01-31,SPOK,SPOK HOLDINGS INC,16.56,0.069767,1.1845967316155397,1.25,dvpsx_f,0.07548309178743962,0.9701149425287356,0.9708812260536398,0.9704980842911877,True,True,True,2.0,0.085145
62228,2024-01-31,FEIM,FREQUENCY ELECTRONICS INC,10.22,-0.066667,0.7033312193566477,1.0,dvpsx_f,0.09784735812133072,0.9252873563218391,0.9827586206896551,0.9540229885057472,True,True,True,3.0,0.049902
22812,2024-01-31,BRBR,BELLRING BRANDS INC NEW,55.27,-0.002887,0.9488727850369918,2.97,dvpsx_f,0.05373620408901755,0.9555555555555556,0.9425287356321839,0.9490421455938698,True,True,True,4.0,0.030396
81728,2024-01-31,NHTC,NATURAL HEALTH TRENDS CORP,6.34,0.081911,0.5729912632558039,0.8,dvpsx_f,0.12249663973022087,0.9003831417624522,0.9952107279693486,0.9477969348659003,True,True,True,5.0,0.015773
19312,2024-01-31,UWMC,U W M HOLDINGS CORP,6.7,-0.062937,0.5723451792999523,0.4,dvpsx_f,0.05970149253731343,0.8996168582375479,0.9578544061302682,0.928735632183908,True,True,True,6.0,-0.047761
18150,2024-01-31,ETRN,EQUITRANS MIDSTREAM CORP,10.19,0.000982,0.5125205651800753,0.6,dvpsx_f,0.058881256133464184,0.8812260536398467,0.9551724137931035,0.918199233716475,True,True,True,7.0,0.063788
85796,2024-01-31,SCS,STEELCASE INC,12.68,-0.054734,0.69368444161046,0.49,dvpsx_f,0.038643533123028394,0.9229885057471264,0.8850574712643678,0.9040229885057471,True,True,True,8.0,0.083596
85903,2024-01-31,CIX,COMPX INTERNATIONAL INC,24.12,-0.045886,0.335387049516483,2.75,dvpsx_f,0.11401326699834162,0.8068965517241379,0.9877394636015325,0.8973180076628352,True,True,True,9.0,-0.033582
92245,2024-01-31,AROC,ARCHROCK INC,16.34,0.061039,0.7380233190932664,0.58,dvpsx_f,0.03549571603427172,0.9302681992337165,0.8620689655172413,0.8961685823754789,True,True,True,10.0,0.128213
91184,2024-02-29,GYRE,GYRE THERAPEUTICS INC,18.14,0.466451,3.0718358774216084,1.43,dvpsx_f,0.07883131201764057,0.9904942965779467,0.9726235741444867,0.9815589353612167,True,True,True,1.0,-0.036384
90464,2024-02-29,SPOK,SPOK HOLDINGS INC,17.97,0.085145,0.9814362673646548,1.25,dvpsx_f,0.06956037840845855,0.9349809885931559,0.9684410646387833,0.9517110266159696,True,True,True,2.0,-0.09502
62228,2024-02-29,FEIM,FREQUENCY ELECTRONICS INC,10.73,0.049902,0.6977829934740318,1.0,dvpsx_f,0.09319664492078285,0.8950570342205323,0.9817490494296578,0.938403041825095,True,True,True,3.0,0.014912
18150,2024-02-29,ETRN,EQUITRANS MIDSTREAM CORP,10.69,0.063788,0.8875818874300299,0.6,dvpsx_f,0.05612722170252572,0.9247148288973384,0.9463878326996198,0.9355513307984791,True,True,True,4.0,0.168382
22812,2024-02-29,BRBR,BELLRING BRANDS INC NEW,56.95,0.030396,0.8442356323882236,2.97,dvpsx_f,0.05215100965759438,0.9163498098859315,0.9357414448669201,0.9260456273764258,True,True,True,5.0,0.036523
19577,2024-02-29,RKT,ROCKET COMPANIES INC,12.56,0.020309,0.5979652101366726,1.01,dvpsx_f,0.0804140127388535,0.8692015209125475,0.973764258555133,0.9214828897338403,True,True,True,6.0,0.158439
19312,2024-02-29,UWMC,U W M HOLDINGS CORP,6.38,-0.047761,0.609717772218545,0.4,dvpsx_f,0.06269592476489029,0.8730038022813689,0.9570342205323193,0.9150190114068442,True,True,True,7.0,0.153605
